Codigo;Data;Cota;Vazao
45765000;01/11/2014;;
45765000;02/11/2014;;
45765000;03/11/2014;;
45765000;04/11/2014;;
45765000;05/11/2014;;
45765000;06/11/2014;;
45765000;07/11/2014;;
45765000;08/11/2014;;
45765000;09/11/2014;;
45765000;10/11/2014;;
45765000;11/11/2014;;
45765000;12/11/2014;;
45765000;13/11/2014;;
45765000;14/11/2014;;
45765000;15/11/2014;;
45765000;16/11/2014;;
45765000;17/11/2014;;
45765000;18/11/2014;;
45765000;19/11/2014;;
45765000;20/11/2014;;
45765000;21/11/2014;;
45765000;22/11/2014;351;38,6142
45765000;23/11/2014;361,5;42,407
45765000;24/11/2014;373,5;47,0173
45765000;25/11/2014;366;44,101
45765000;26/11/2014;365;43,721
45765000;27/11/2014;372,5;46,6217
45765000;28/11/2014;371;46,0322
45765000;29/11/2014;367;44,4831
45765000;30/11/2014;363;42,9671
45765000;01/12/2014;357;40,7543
45765000;02/12/2014;354,5;39,8538
45765000;03/12/2014;350,5;38,4391
45765000;04/12/2014;345;36,5458
45765000;05/12/2014;341,5;35,372
45765000;06/12/2014;341;35,2062
45765000;07/12/2014;347,5;37,399
45765000;08/12/2014;370;45,6418
45765000;09/12/2014;373,5;47,0173
45765000;10/12/2014;372;46,4247
45765000;11/12/2014;369,5;45,4474
45765000;12/12/2014;367;44,4831
45765000;13/12/2014;367;44,4831
45765000;14/12/2014;367;44,4831
45765000;15/12/2014;371;46,0322
45765000;16/12/2014;367,5;44,6749
45765000;17/12/2014;363;42,9671
45765000;18/12/2014;361;42,2213
45765000;19/12/2014;358;41,118
45765000;20/12/2014;354,5;39,8538
45765000;21/12/2014;354;39,6752
45765000;22/12/2014;354;39,6752
45765000;23/12/2014;354,5;39,8538
45765000;24/12/2014;353,5;39,4971
45765000;25/12/2014;350,5;38,4391
45765000;26/12/2014;348,5;37,7437
45765000;27/12/2014;346,5;37,0562
45765000;28/12/2014;343,5;36,0398
45765000;29/12/2014;341;35,2062
45765000;30/12/2014;345;36,5458
45765000;31/12/2014;344;36,208
45765000;01/01/2015;342;35,5382
45765000;02/01/2015;339,5;34,7119
45765000;03/01/2015;337,5;34,0597
45765000;04/01/2015;336;33,5755
45765000;05/01/2015;335,5;33,4151
45765000;06/01/2015;334;32,9367
45765000;07/01/2015;334;32,9367
45765000;08/01/2015;333;32,6202
45765000;09/01/2015;332;32,3056
45765000;10/01/2015;331;31,9929
45765000;11/01/2015;331;31,9929
45765000;12/01/2015;330;31,6821
45765000;13/01/2015;330;31,6821
45765000;14/01/2015;330;31,6821
45765000;15/01/2015;330;31,6821
45765000;16/01/2015;330;31,6821
45765000;17/01/2015;329;31,3732
45765000;18/01/2015;329;31,3732
45765000;19/01/2015;329;31,3732
45765000;20/01/2015;329;31,3732
45765000;21/01/2015;329;31,3732
45765000;22/01/2015;329;31,3732
45765000;23/01/2015;330;31,6821
45765000;24/01/2015;331;31,9929
45765000;25/01/2015;337;33,8978
45765000;26/01/2015;346;36,8856
45765000;27/01/2015;348,5;37,7437
45765000;28/01/2015;346;36,8856
45765000;29/01/2015;343;35,8721
45765000;30/01/2015;338,5;34,3848
45765000;31/01/2015;336;33,5755
45765000;01/02/2015;333;32,6202
45765000;02/02/2015;332;32,3056
45765000;03/02/2015;331,5;32,149
45765000;04/02/2015;338;34,222
45765000;05/02/2015;340;34,8762
45765000;06/02/2015;343,5;36,0398
45765000;07/02/2015;356;40,3926
45765000;08/02/2015;358;41,118
45765000;09/02/2015;345;36,5458
45765000;10/02/2015;350;38,2645
45765000;11/02/2015;346;36,8856
45765000;12/02/2015;342;35,5382
45765000;13/02/2015;339,5;34,7119
45765000;14/02/2015;336,5;33,7364
45765000;15/02/2015;334,5;33,0957
45765000;16/02/2015;334;32,9367
45765000;17/02/2015;333;32,6202
45765000;18/02/2015;334,5;33,0957
45765000;19/02/2015;354;39,6752
45765000;20/02/2015;368;44,8673
45765000;21/02/2015;371;46,0322
45765000;22/02/2015;357,5;40,9359
45765000;23/02/2015;351,5;38,7898
45765000;24/02/2015;349,5;38,0904
45765000;25/02/2015;346,5;37,0562
45765000;26/02/2015;342,5;35,7049
45765000;27/02/2015;340,5;35,041
45765000;28/02/2015;351;38,6142
45765000;01/03/2015;350;38,2645
45765000;02/03/2015;350;38,2645
