Codigo;Data;Cota;Vazao
46572000;01/10/2013;;
46572000;02/10/2013;;
46572000;03/10/2013;;
46572000;04/10/2013;;
46572000;05/10/2013;;
46572000;06/10/2013;;
46572000;07/10/2013;;
46572000;08/10/2013;;
46572000;09/10/2013;;
46572000;10/10/2013;;
46572000;11/10/2013;;
46572000;12/10/2013;;
46572000;13/10/2013;;
46572000;14/10/2013;;
46572000;15/10/2013;;
46572000;16/10/2013;;
46572000;17/10/2013;;
46572000;18/10/2013;;
46572000;19/10/2013;;
46572000;20/10/2013;;
46572000;21/10/2013;131;1,4482
46572000;22/10/2013;129,5;1,3248
46572000;23/10/2013;128,5;1,2457
46572000;24/10/2013;129;1,2849
46572000;25/10/2013;128;1,2072
46572000;26/10/2013;128;1,2072
46572000;27/10/2013;128;1,2072
46572000;28/10/2013;127,5;1,1693
46572000;29/10/2013;128;1,2072
46572000;30/10/2013;132,5;1,5776
46572000;31/10/2013;129,5;1,3248
46572000;01/11/2013;128,5;1,2457
46572000;02/11/2013;128,5;1,2457
46572000;03/11/2013;128;1,2072
46572000;04/11/2013;128;1,2072
46572000;05/11/2013;128;1,2072
46572000;06/11/2013;148,5;3,334
46572000;07/11/2013;138;2,1031
46572000;08/11/2013;130;1,3653
46572000;09/11/2013;128,5;1,2457
46572000;10/11/2013;129;1,2849
46572000;11/11/2013;129;1,2849
46572000;12/11/2013;129;1,2849
46572000;13/11/2013;129;1,2849
46572000;14/11/2013;129;1,2849
46572000;15/11/2013;130,5;1,4064
46572000;16/11/2013;130;1,3653
46572000;17/11/2013;129;1,2849
46572000;18/11/2013;129;1,2849
46572000;19/11/2013;129;1,2849
46572000;20/11/2013;128;1,2072
46572000;21/11/2013;128,5;1,2457
46572000;22/11/2013;128;1,2072
46572000;23/11/2013;128,5;1,2457
46572000;24/11/2013;129;1,2849
46572000;25/11/2013;131;1,4482
46572000;26/11/2013;130;1,3653
46572000;27/11/2013;130,5;1,4064
46572000;28/11/2013;131;1,4482
46572000;29/11/2013;134;1,7129
46572000;30/11/2013;132;1,5338
46572000;01/12/2013;129,5;1,3248
46572000;02/12/2013;129;1,2849
46572000;03/12/2013;130;1,3653
46572000;04/12/2013;129,5;1,3248
46572000;05/12/2013;128,5;1,2457
46572000;06/12/2013;129;1,2849
46572000;07/12/2013;129;1,2849
46572000;08/12/2013;130;1,3653
46572000;09/12/2013;135;1,8065
46572000;10/12/2013;142;2,5364
46572000;11/12/2013;141,5;2,4799
46572000;12/12/2013;133;1,6221
46572000;13/12/2013;135;1,8065
46572000;14/12/2013;138;2,1031
46572000;15/12/2013;137,5;2,052
46572000;16/12/2013;137,5;2,052
46572000;17/12/2013;138;2,1031
46572000;18/12/2013;136;1,9027
46572000;19/12/2013;131;1,4482
46572000;20/12/2013;171,5;7,1149
46572000;21/12/2013;195,5;12,7182
46572000;22/12/2013;146;3,0134
46572000;23/12/2013;139;2,2074
46572000;24/12/2013;140;2,3143
46572000;25/12/2013;140;2,3143
46572000;26/12/2013;140,5;2,3688
46572000;27/12/2013;140;2,3143
46572000;28/12/2013;146,5;3,0762
46572000;29/12/2013;145;2,89
46572000;30/12/2013;135;1,8065
46572000;31/12/2013;133,5;1,6672
46572000;01/01/2014;131;1,4482
46572000;02/01/2014;132;1,5338
46572000;03/01/2014;132,5;1,5776
46572000;04/01/2014;131,5;1,4907
46572000;05/01/2014;132;1,5338
46572000;06/01/2014;131;1,4482
46572000;07/01/2014;131;1,4482
46572000;08/01/2014;131;1,4482
46572000;09/01/2014;131;1,4482
46572000;10/01/2014;130,5;1,4064
46572000;11/01/2014;130,5;1,4064
46572000;12/01/2014;133;1,6221
46572000;13/01/2014;131;1,4482
46572000;14/01/2014;131;1,4482
46572000;15/01/2014;131;1,4482
46572000;16/01/2014;130;1,3653
46572000;17/01/2014;130;1,3653
46572000;18/01/2014;130,5;1,4064
46572000;19/01/2014;130;1,3653
46572000;20/01/2014;131;1,4482
46572000;21/01/2014;130,5;1,4064
46572000;22/01/2014;130;1,3653
46572000;23/01/2014;130;1,3653
46572000;24/01/2014;130;1,3653
46572000;25/01/2014;130;1,3653
46572000;26/01/2014;130,5;1,4064
46572000;27/01/2014;129,5;1,3248
46572000;28/01/2014;130;1,3653
46572000;29/01/2014;130;1,3653
46572000;30/01/2014;129;1,2849
46572000;31/01/2014;129;1,2849
46572000;01/02/2014;129;1,2849
46572000;02/02/2014;129;1,2849
46572000;03/02/2014;129;1,2849
46572000;04/02/2014;129;1,2849
46572000;05/02/2014;129,5;1,3248
46572000;06/02/2014;129;1,2849
46572000;07/02/2014;128;1,2072
46572000;08/02/2014;129;1,2849
46572000;09/02/2014;129,5;1,3248
46572000;10/02/2014;128,5;1,2457
46572000;11/02/2014;129;1,2849
46572000;12/02/2014;128,5;1,2457
46572000;13/02/2014;129,5;1,3248
46572000;14/02/2014;130;1,3653
46572000;15/02/2014;134;1,7129
46572000;16/02/2014;132,5;1,5776
46572000;17/02/2014;137,5;2,052
46572000;18/02/2014;131;1,4482
46572000;19/02/2014;135;1,8065
46572000;20/02/2014;131;1,4482
46572000;21/02/2014;132;1,5338
46572000;22/02/2014;131;1,4482
46572000;23/02/2014;128,5;1,2457
46572000;24/02/2014;129;1,2849
46572000;25/02/2014;128,5;1,2457
46572000;26/02/2014;128;1,2072
46572000;27/02/2014;128;1,2072
46572000;28/02/2014;128,5;1,2457
46572000;01/03/2014;129;1,2849
46572000;02/03/2014;128;1,2072
46572000;03/03/2014;129;1,2849
46572000;04/03/2014;143;2,6515
46572000;05/03/2014;140;2,3143
46572000;06/03/2014;132;1,5338
46572000;07/03/2014;130,5;1,4064
46572000;08/03/2014;130;1,3653
46572000;09/03/2014;129,5;1,3248
46572000;10/03/2014;131;1,4482
46572000;11/03/2014;130;1,3653
46572000;12/03/2014;129,5;1,3248
46572000;13/03/2014;128,5;1,2457
46572000;14/03/2014;129,5;1,3248
46572000;15/03/2014;129,5;1,3248
