Codigo;Data;Cota;Vazao
46438000;01/07/2014;;
46438000;02/07/2014;;
46438000;03/07/2014;;
46438000;04/07/2014;;
46438000;05/07/2014;;
46438000;06/07/2014;;
46438000;07/07/2014;;
46438000;08/07/2014;;
46438000;09/07/2014;;
46438000;10/07/2014;;
46438000;11/07/2014;;
46438000;12/07/2014;;
46438000;13/07/2014;;
46438000;14/07/2014;;
46438000;15/07/2014;;
46438000;16/07/2014;;
46438000;17/07/2014;;
46438000;18/07/2014;;
46438000;19/07/2014;;
46438000;20/07/2014;;
46438000;21/07/2014;;
46438000;22/07/2014;130,5;22,2836
46438000;23/07/2014;130;22,1517
46438000;24/07/2014;128,5;21,758
46438000;25/07/2014;130;22,1517
46438000;26/07/2014;129,5;22,0202
46438000;27/07/2014;130;22,1517
46438000;28/07/2014;129,5;22,0202
46438000;29/07/2014;130;22,1517
46438000;30/07/2014;128,5;21,758
46438000;31/07/2014;130;22,1517
46438000;01/08/2014;128,5;21,758
46438000;02/08/2014;129;21,8889
46438000;03/08/2014;131;22,4158
46438000;04/08/2014;130;22,1517
46438000;05/08/2014;128;21,6274
46438000;06/08/2014;129;21,8889
46438000;07/08/2014;129;21,8889
46438000;08/08/2014;128;21,6274
46438000;09/08/2014;128,5;21,758
46438000;10/08/2014;127;21,367
46438000;11/08/2014;127,5;21,497
46438000;12/08/2014;127,5;21,497
46438000;13/08/2014;127;21,367
46438000;14/08/2014;128;21,6274
46438000;15/08/2014;128;21,6274
46438000;16/08/2014;127,5;21,497
46438000;17/08/2014;129;21,8889
46438000;18/08/2014;127,5;21,497
46438000;19/08/2014;128;21,6274
46438000;20/08/2014;127;21,367
46438000;21/08/2014;126;21,108
46438000;22/08/2014;126;21,108
46438000;23/08/2014;126;21,108
46438000;24/08/2014;125,5;20,9789
46438000;25/08/2014;126;21,108
46438000;26/08/2014;126,5;21,2373
46438000;27/08/2014;126;21,108
46438000;28/08/2014;126;21,108
46438000;29/08/2014;126;21,108
46438000;30/08/2014;126;21,108
46438000;31/08/2014;126;21,108
46438000;01/09/2014;125,5;20,9789
46438000;02/09/2014;126;21,108
46438000;03/09/2014;125;20,8501
46438000;04/09/2014;124;20,5936
46438000;05/09/2014;124;20,5936
46438000;06/09/2014;124;20,5936
46438000;07/09/2014;125;20,8501
46438000;08/09/2014;124;20,5936
46438000;09/09/2014;124;20,5936
46438000;10/09/2014;124;20,5936
46438000;11/09/2014;124;20,5936
46438000;12/09/2014;124;20,5936
46438000;13/09/2014;126;21,108
46438000;14/09/2014;124;20,5936
46438000;15/09/2014;124;20,5936
46438000;16/09/2014;123;20,3382
46438000;17/09/2014;122,5;20,211
